groen,0
vlaams-belang,0
open-vld,0
uf,0
sp-a,0
n-va,0
cd-v,0
pvda,0
blanco,0
groen,0
vlaams-belang,0
open-vld,0
uf,0
sp-a,0
n-va,0
cd-v,0
pvda,0
blanco,0
groen,0
vlaams-belang,0
open-vld,0
uf,0
sp-a,0
n-va,0
cd-v,0
pvda,0
blanco,0
groen,0
vlaams-belang,0
open-vld,0
uf,0
sp-a,0
n-va,0
cd-v,0
pvda,0
blanco,0
groen,0
vlaams-belang,0
open-vld,0
uf,0
sp-a,0
n-va,0
cd-v,0
pvda,0
blanco,0
groen,0
vlaams-belang,0
open-vld,0
uf,0
sp-a,0
n-va,0
cd-v,0
pvda,0
blanco,0
groen,0
vlaams-belang,0
open-vld,0
uf,0
sp-a,0
n-va,0
cd-v,0
pvda,0
blanco,0
groen,0
vlaams-belang,0
open-vld,0
uf,0
sp-a,0
n-va,0
cd-v,0
pvda,0
blanco,0
groen,0
vlaams-belang,0
open-vld,0
uf,0
sp-a,0
n-va,0
cd-v,0
pvda,0
blanco,0
